TIME VALUE
2014.71875 7342.040886554405
2014.734375 7343.155638865105
2014.75 7344.26989421077
2014.765625 7345.383652550634
2014.78125 7346.496913858309
2014.796875 7347.609678121644
2014.8125 7348.721945342566
2014.828125 7349.83371553692
2014.84375 7350.944988734292
2014.859375 7352.055764977836
2014.875 7353.166044324085
2014.890625 7354.275826842756
2014.90625 7355.38511261655
2014.921875 7356.493901740938
2014.9375 7357.60219432395
2014.953125 7358.709990485949
2014.96875 7359.817290359401
2014.984375 7360.924094088643
2015.0 7362.030401829634
2015.015625 7363.136213749709
2015.03125 7364.241530027328
2015.046875 7365.346350851809
2015.0625 7366.4506764230655
2015.078125 7367.554506951342
2015.09375 7368.657842656929
2015.109375 7369.760683769886
2015.125 7370.863030529759
2015.140625 7371.964883185288
2015.15625 7373.066241994118
2015.171875 7374.1671072225
2015.1875 7375.267479144986
2015.203125 7376.367358044137
2015.21875 7377.466744210207
2015.234375 7378.565637940837
2015.25 7379.664039540745
2015.265625 7380.761949321409
2015.28125 7381.859367600754
2015.296875 7382.956294702834
2015.3125 7384.052730957515
2015.328125 7385.1486767001525
2015.34375 7386.244132271269
2015.359375 7387.339098016243
2015.375 7388.433574284973
2015.390625 7389.527561431565
2015.40625 7390.621059814012
2015.421875 7391.714069793867
2015.4375 7392.806591735927
2015.453125 7393.898626007911
2015.46875 7394.990172980149
2015.484375 7396.08123302525
2015.5 7397.1718065178065
2015.515625 7398.261893834067
2015.53125 7399.351495351635
2015.546875 7400.44061144915
2015.5625 7401.529242505996
2015.578125 7402.617388901988
2015.59375 7403.705051017079
2015.609375 7404.792229231061
2015.625 7405.8789239232765
2015.640625 7406.9651354723255
2015.65625 7408.050864255789
2015.671875 7409.136110649941
2015.6875 7410.220875029481
2015.703125 7411.305157767263
2015.71875 7412.388959234022
2015.734375 7413.472279798126
2015.75 7414.555119825316
2015.765625 7415.637479678457
2015.78125 7416.719359717292
2015.796875 7417.800760298214
2015.8125 7418.881681774026
2015.828125 7419.962124493721
2015.84375 7421.042088802265
2015.859375 7422.121575040379
2015.875 7423.200583544345
2015.890625 7424.279114645793
2015.90625 7425.3571686715295
2015.921875 7426.434745943334
2015.9375 7427.511846777801
2015.953125 7428.5884714861595
2015.96875 7429.664620374114
2015.984375 7430.740293741694
2016.0 7431.815491883104
2016.015625 7432.890215086594
2016.03125 7433.964463634315
2016.046875 7435.038237802213
2016.0625 7436.111537859904
2016.078125 7437.184364070574
2016.09375 7438.256716690877
2016.109375 7439.328595970849
2016.125 7440.400002153829
2016.140625 7441.470935476378
2016.15625 7442.541396168224
2016.171875 7443.611384452204
2016.1875 7444.680900544208
2016.203125 7445.749944653149
2016.21875 7446.818516980931
