TIME VALUE
2040.53125 8595.179062040708
2040.546875 8595.538091523465
2040.5625 8595.896583901327
2040.578125 8596.254539760412
2040.59375 8596.611959690077
2040.609375 8596.968844282623
2040.625 8597.325194133009
2040.640625 8597.68100983855
2040.65625 8598.036291998624
2040.671875 8598.391041214367
2040.6875 8598.745258088366
2040.703125 8599.09894322434
2040.71875 8599.452097226844
2040.734375 8599.804720700937
2040.75 8600.15681425187
2040.765625 8600.508378484761
2040.78125 8600.859414004273
2040.796875 8601.209921414285
2040.8125 8601.559901317562
2040.828125 8601.909354315427
2040.84375 8602.258281007424
2040.859375 8602.606681990992
2040.875 8602.954557861121
2040.890625 8603.30190921002
2040.90625 8603.648736626781
2040.921875 8603.995040697033
2040.9375 8604.340822002618
2040.953125 8604.686081121235
2040.96875 8605.030818626123
2040.984375 8605.375035085699
2041.0 8605.718731063242
2041.015625 8606.061907116537
2041.03125 8606.40456379756
2041.046875 8606.746701652122
2041.0625 8607.088321219551
2041.078125 8607.429423032356
2041.09375 8607.770007615889
2041.109375 8608.110075488035
2041.125 8608.449627158865
2041.140625 8608.788663130332
2041.15625 8609.127183895944
2041.171875 8609.465189940442
2041.1875 8609.802681739495
2041.203125 8610.139659759385
2041.21875 8610.476124456702
2041.234375 8610.812076278045
2041.25 8611.147515659717
2041.265625 8611.482443027435
2041.28125 8611.816858796044
2041.296875 8612.15076336923
2041.3125 8612.48415713924
2041.328125 8612.817040486612
2041.34375 8613.149413779904
2041.359375 8613.481277375431
2041.375 8613.812631617016
2041.390625 8614.143476835729
2041.40625 8614.473813349658
2041.421875 8614.803641463657
2041.4375 8615.132961469126
2041.453125 8615.461773643785
2041.46875 8615.790078251459
2041.484375 8616.11787554187
2041.5 8616.445165750436
2041.515625 8616.771949098076
2041.53125 8617.098225791035
2041.546875 8617.423996020692
2041.5625 8617.749259963406
2041.578125 8618.074017780355
2041.59375 8618.398269617366
2041.609375 8618.722015604808
2041.625 8619.045255857422
2041.640625 8619.367990474224
2041.65625 8619.690219538377
2041.671875 8620.011943117093
2041.6875 8620.333161261533
2041.703125 8620.653874006715
2041.71875 8620.974081371456
2041.734375 8621.293783358286
2041.75 8621.612979953403
2041.765625 8621.931671126622
2041.78125 8622.249856831346
2041.796875 8622.567537004526
2041.8125 8622.884711566665
2041.828125 8623.201380421793
2041.84375 8623.517543457485
2041.859375 8623.833200544876
2041.875 8624.148351538675
2041.890625 8624.462996277223
2041.90625 8624.77713458252
2041.921875 8625.090766260297
2041.9375 8625.403891100072
2041.953125 8625.71650887524
2041.96875 8626.028619343158
2041.984375 8626.340222245248
2042.0 8626.6513173071
2042.015625 8626.961904238604
2042.03125 8627.271982734072
2042.046875 8627.58155247239
